Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde1 Vardas1 4 2 1 6 9 1
Pavarde2 Vardas2 6 3 8 8 10 2
Pavarde3 Vardas3 10 5 10 8 9 6
Pavarde4 Vardas4 1 10 4 1 10 5
Pavarde5 Vardas5 7 2 2 9 3 7
Pavarde6 Vardas6 8 3 7 6 8 2
Pavarde7 Vardas7 5 3 10 4 8 4
Pavarde8 Vardas8 8 8 9 4 1 7
Pavarde9 Vardas9 6 4 8 7 1 8
Pavarde10 Vardas10 3 10 8 2 7 2
Pavarde11 Vardas11 6 2 8 5 2 1
Pavarde12 Vardas12 8 5 10 4 10 5
Pavarde13 Vardas13 4 6 9 2 6 2
Pavarde14 Vardas14 2 8 4 2 1 10
Pavarde15 Vardas15 2 5 7 8 1 8
Pavarde16 Vardas16 1 5 6 2 9 6
Pavarde17 Vardas17 3 9 10 8 9 6
Pavarde18 Vardas18 7 9 7 7 5 1
Pavarde19 Vardas19 4 2 6 1 8 1
Pavarde20 Vardas20 10 3 2 8 2 5
Pavarde21 Vardas21 3 10 9 1 6 8
Pavarde22 Vardas22 1 10 6 1 4 2
Pavarde23 Vardas23 6 9 2 3 7 8
Pavarde24 Vardas24 7 2 5 10 2 3
Pavarde25 Vardas25 10 6 3 1 6 6
Pavarde26 Vardas26 2 2 1 5 10 10
Pavarde27 Vardas27 2 7 1 10 6 5
Pavarde28 Vardas28 5 5 8 1 1 8
Pavarde29 Vardas29 10 4 2 4 2 4
Pavarde30 Vardas30 6 6 4 3 6 5
Pavarde31 Vardas31 4 7 8 6 4 5
Pavarde32 Vardas32 1 4 8 9 9 2
Pavarde33 Vardas33 4 2 5 3 3 2
Pavarde34 Vardas34 3 9 5 10 6 9
Pavarde35 Vardas35 7 5 4 9 7 9
Pavarde36 Vardas36 10 3 10 7 6 10
Pavarde37 Vardas37 10 8 4 2 1 2
Pavarde38 Vardas38 6 2 1 3 2 6
Pavarde39 Vardas39 5 3 3 6 9 7
Pavarde40 Vardas40 7 3 8 4 6 6
Pavarde41 Vardas41 5 6 9 8 5 4
Pavarde42 Vardas42 5 9 4 4 1 4
Pavarde43 Vardas43 10 5 1 2 2 7
Pavarde44 Vardas44 2 7 10 10 7 5
Pavarde45 Vardas45 4 6 5 6 9 1
Pavarde46 Vardas46 3 5 3 8 8 1
Pavarde47 Vardas47 7 6 2 4 3 3
Pavarde48 Vardas48 10 4 6 8 2 2
Pavarde49 Vardas49 9 5 10 2 10 9
Pavarde50 Vardas50 10 7 4 2 4 7
Pavarde51 Vardas51 2 1 8 2 10 7
Pavarde52 Vardas52 6 9 1 7 7 1
Pavarde53 Vardas53 7 1 5 7 7 9
Pavarde54 Vardas54 10 3 8 6 3 1
Pavarde55 Vardas55 1 7 5 4 3 4
Pavarde56 Vardas56 7 7 7 10 5 10
Pavarde57 Vardas57 9 10 2 3 10 4
Pavarde58 Vardas58 8 3 5 4 2 10
Pavarde59 Vardas59 8 8 6 7 8 6
Pavarde60 Vardas60 6 10 10 7 4 7
Pavarde61 Vardas61 4 10 2 5 2 2
Pavarde62 Vardas62 1 1 10 2 7 7
Pavarde63 Vardas63 9 4 4 3 6 2
Pavarde64 Vardas64 3 7 4 3 5 8
Pavarde65 Vardas65 4 9 6 4 6 6
Pavarde66 Vardas66 2 10 1 1 6 1
Pavarde67 Vardas67 6 3 10 8 2 9
Pavarde68 Vardas68 4 4 10 6 7 2
Pavarde69 Vardas69 2 4 5 6 5 4
Pavarde70 Vardas70 8 4 3 6 10 4
Pavarde71 Vardas71 1 6 9 5 8 3
Pavarde72 Vardas72 7 10 7 8 2 9
Pavarde73 Vardas73 1 2 3 3 3 5
Pavarde74 Vardas74 1 5 9 9 7 2
Pavarde75 Vardas75 1 8 2 6 7 6
Pavarde76 Vardas76 2 8 3 5 9 1
Pavarde77 Vardas77 1 6 4 1 9 2
Pavarde78 Vardas78 8 6 10 8 9 3
Pavarde79 Vardas79 9 2 4 10 7 4
Pavarde80 Vardas80 9 8 9 8 6 1
Pavarde81 Vardas81 5 8 1 2 8 6
Pavarde82 Vardas82 3 10 2 5 2 4
Pavarde83 Vardas83 3 2 1 10 5 9
Pavarde84 Vardas84 8 3 4 9 2 7
Pavarde85 Vardas85 9 10 5 4 2 4
Pavarde86 Vardas86 3 10 1 2 6 4
Pavarde87 Vardas87 9 2 8 6 4 9
Pavarde88 Vardas88 10 1 8 3 5 7
Pavarde89 Vardas89 7 2 8 5 8 6
Pavarde90 Vardas90 5 6 4 3 9 2
Pavarde91 Vardas91 10 2 9 1 2 2
Pavarde92 Vardas92 6 9 3 4 3 4
Pavarde93 Vardas93 10 1 7 5 8 7
Pavarde94 Vardas94 8 8 1 8 10 9
Pavarde95 Vardas95 9 1 3 5 6 4
Pavarde96 Vardas96 7 6 2 5 7 8
Pavarde97 Vardas97 1 8 8 1 1 2
Pavarde98 Vardas98 8 5 9 5 7 6
Pavarde99 Vardas99 8 7 5 8 7 2
Pavarde100 Vardas100 2 9 9 8 6 10
Pavarde101 Vardas101 10 4 7 10 8 9
Pavarde102 Vardas102 6 2 10 1 2 9
Pavarde103 Vardas103 6 3 8 10 7 1
Pavarde104 Vardas104 1 3 8 3 5 8
Pavarde105 Vardas105 6 10 8 3 8 8
Pavarde106 Vardas106 4 10 9 3 6 8
Pavarde107 Vardas107 3 6 4 8 2 6
Pavarde108 Vardas108 9 10 5 2 4 4
Pavarde109 Vardas109 10 2 10 2 4 6
Pavarde110 Vardas110 10 6 7 1 6 9
Pavarde111 Vardas111 10 6 7 4 7 5
Pavarde112 Vardas112 7 9 4 9 3 2
Pavarde113 Vardas113 4 4 8 3 7 6
Pavarde114 Vardas114 5 2 7 3 1 3
Pavarde115 Vardas115 6 10 1 7 10 6
Pavarde116 Vardas116 3 4 6 3 3 7
Pavarde117 Vardas117 3 2 6 9 7 6
