Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde1 Vardas1 5 9 10 4 7 6
Pavarde2 Vardas2 9 6 2 7 7 5
Pavarde3 Vardas3 4 6 9 6 4 4
Pavarde4 Vardas4 5 8 5 10 7 7
Pavarde5 Vardas5 3 7 8 2 4 8
Pavarde6 Vardas6 1 9 5 4 2 4
Pavarde7 Vardas7 8 8 7 6 4 9
Pavarde8 Vardas8 3 1 9 9 10 8
Pavarde9 Vardas9 6 10 6 5 6 7
Pavarde10 Vardas10 9 8 5 4 1 4
Pavarde11 Vardas11 4 4 6 5 3 4
Pavarde12 Vardas12 2 10 6 2 8 10
Pavarde13 Vardas13 6 7 10 4 1 8
Pavarde14 Vardas14 9 8 4 8 6 3
Pavarde15 Vardas15 9 2 9 5 2 3
Pavarde16 Vardas16 9 3 9 9 4 2
Pavarde17 Vardas17 9 8 5 7 1 4
Pavarde18 Vardas18 8 5 7 9 6 1
Pavarde19 Vardas19 1 6 6 1 10 1
Pavarde20 Vardas20 6 7 8 3 5 8
Pavarde21 Vardas21 1 7 6 5 4 10
Pavarde22 Vardas22 4 7 6 5 9 8
Pavarde23 Vardas23 6 3 7 7 3 8
Pavarde24 Vardas24 7 9 2 10 8 3
Pavarde25 Vardas25 8 1 8 1 1 1
Pavarde26 Vardas26 6 3 4 10 10 2
Pavarde27 Vardas27 10 5 9 1 1 8
Pavarde28 Vardas28 5 7 6 3 2 4
Pavarde29 Vardas29 8 10 5 9 10 6
Pavarde30 Vardas30 5 10 1 8 9 5
Pavarde31 Vardas31 4 10 2 5 10 2
Pavarde32 Vardas32 5 4 8 7 9 7
Pavarde33 Vardas33 2 6 10 6 1 6
Pavarde34 Vardas34 9 8 5 3 6 1
Pavarde35 Vardas35 9 3 7 5 5 3
Pavarde36 Vardas36 6 1 3 2 8 7
Pavarde37 Vardas37 8 1 1 9 9 3
Pavarde38 Vardas38 3 2 2 4 2 6
Pavarde39 Vardas39 10 3 5 5 3 6
Pavarde40 Vardas40 5 10 5 1 8 6
Pavarde41 Vardas41 10 5 4 6 10 8
Pavarde42 Vardas42 4 8 6 2 10 3
Pavarde43 Vardas43 9 9 7 3 2 9
Pavarde44 Vardas44 2 2 3 8 3 4
Pavarde45 Vardas45 8 10 4 7 8 8
Pavarde46 Vardas46 9 3 1 9 7 10
Pavarde47 Vardas47 3 10 9 6 2 6
Pavarde48 Vardas48 10 3 7 8 1 5
Pavarde49 Vardas49 4 8 7 7 3 4
Pavarde50 Vardas50 2 5 6 3 3 2
Pavarde51 Vardas51 9 6 6 6 4 5
Pavarde52 Vardas52 7 7 2 7 10 8
Pavarde53 Vardas53 10 9 9 4 7 9
Pavarde54 Vardas54 7 6 4 9 4 2
Pavarde55 Vardas55 3 3 3 7 8 1
Pavarde56 Vardas56 6 10 4 3 9 7
Pavarde57 Vardas57 2 9 9 5 4 1
Pavarde58 Vardas58 7 2 8 4 4 1
Pavarde59 Vardas59 3 7 8 5 3 6
Pavarde60 Vardas60 7 5 2 4 10 7
Pavarde61 Vardas61 9 2 7 2 4 6
Pavarde62 Vardas62 5 10 1 3 2 7
Pavarde63 Vardas63 4 5 8 2 5 7
Pavarde64 Vardas64 4 6 1 1 5 3
Pavarde65 Vardas65 3 8 1 7 5 6
Pavarde66 Vardas66 7 8 4 5 8 10
Pavarde67 Vardas67 1 10 10 9 7 8
Pavarde68 Vardas68 5 6 10 6 9 9
Pavarde69 Vardas69 4 8 2 2 1 1
Pavarde70 Vardas70 3 5 6 9 3 3
